end,length,minorLoss,name,roughness,start,status,tags,diameter,year
Junction-44275,"24.469999999999999","0.000000000000000",Pipe-38431,"1.000000000000000",Junction-50745,OPEN,steel,"43.100","1990"
Junction-509,"59.289999999999999","0.000000000000000",Pipe-38422,"1.000000000000000",Junction-26264,OPEN,steel,"107.100","2002"
Junction-516105,"5.630000000000000","0.000000000000000",Pipe-580660,"1.000000000000000",Junction-516106,OPEN,steel,"28.500","2018"
Junction-756,"42.609999999999999","0.000000000000000",Pipe-7965,"1.000000000000000",Junction-50840,OPEN,steel,"43.100","1975"
Junction-15373,"31.680000000000000","0.000000000000000",Pipe-39086,"1.000000000000000",Junction-27052,OPEN,steel,"28.500","1999"
Junction-37637,"41.460000000000001","0.000000000000000",Pipe-24415,"1.000000000000000",Junction-37636,OPEN,steel,"43.100","2006"
Junction-36978,"43.600000000000001","0.000000000000000",Pipe-46794,"1.000000000000000",Junction-51239,OPEN,steel,"54.500","1980"
Junction-26460,"0.140000000000000","0.000000000000000",Pipe-15543,"1.000000000000000",Junction-743,OPEN,steel,"107.100","1982"
Junction-45424,"10.990000000000000","0.000000000000000",Pipe-47318,"1.000000000000000",Junction-56193,OPEN,steel,"28.500","2001"
Junction-26557,"44.090000000000003","0.000000000000000",Pipe-38655,"1.000000000000000",Junction-36372,OPEN,steel,"54.500","1975"
Junction-26763,"0.710000000000000","0.000000000000000",Pipe-54049,"1.000000000000000",Junction-15034,OPEN,steel,"54.500","1980"
Junction-27271,"20.460000000000001","0.000000000000000",Pipe-16162,"1.000000000000000",Junction-27272,OPEN,steel,"21.700","1975"
Junction-419,"43.130000000000003","0.000000000000000",Pipe-45992,"1.000000000000000",Junction-55563,OPEN,steel,"28.500","1991"
Junction-14386,"18.539999999999999","0.000000000000000",Pipe-538166,"1.000000000000000",Junction-495,OPEN,steel,"37.200","2006"
Junction-44697,"18.100000000000001","0.000000000000000",Pipe-46531,"1.000000000000000",Junction-15238,OPEN,steel,"37.200","1999"
Junction-444,"265.740000000000009","0.000000000000000",Pipe-519775,"1.000000000000000",Junction-14277,OPEN,steel,"312.700","2005"
Junction-26328,"6.790000000000000","0.000000000000000",Pipe-520095,"1.000000000000000",Junction-454505,OPEN,steel,"21.700","2005"
Junction-36134,"40.399999999999999","0.000000000000000",Pipe-23004,"1.000000000000000",Junction-26266,OPEN,steel,"54.500","2002"
Junction-46335,"21.350000000000001","0.000000000000000",Pipe-33113,"1.000000000000000",Junction-29450,OPEN,steel,"37.200","2000"
Junction-55575,"0.300000000000000","0.000000000000000",Pipe-46023,"1.000000000000000",Junction-14368,OPEN,steel,"21.700","1990"
Junction-26261,"0.890000000000000","0.000000000000000",Pipe-38421,"1.000000000000000",Junction-14392,OPEN,steel,"54.500","2004"
Junction-444,"54.450000000000003","0.000000000000000",Pipe-30605,"1.000000000000000",Junction-44200,OPEN,steel,"107.100","2006"
Junction-14468,"0.700000000000000","0.000000000000000",Pipe-53689,"1.000000000000000",Junction-59021,OPEN,steel,"28.500","2004"
Junction-26400,"0.160000000000000","0.000000000000000",Pipe-23159,"1.000000000000000",Junction-36294,OPEN,steel,"43.100","1975"
Junction-748,"23.500000000000000","0.000000000000000",Pipe-53795,"1.000000000000000",Junction-59053,OPEN,steel,"28.500","1975"
Junction-465534,"0.950000000000000","0.000000000000000",Pipe-533395,"1.000000000000000",Junction-465535,OPEN,steel,"107.100","2017"
Junction-26176,"0.300000000000000","0.000000000000000",Pipe-22942,"1.000000000000000",Junction-413,OPEN,steel,"70.300","1991"
Junction-44473,"69.810000000000002","0.000000000000000",Pipe-46292,"1.000000000000000",Junction-44406,OPEN,steel,"82.500","2006"
Junction-44185,"87.180000000000007","0.000000000000000",Pipe-30579,"1.000000000000000",Junction-336,OPEN,steel,"54.500","2004"
Junction-50696,"16.699999999999999","0.000000000000000",Pipe-7749,"1.000000000000000",Junction-14285,OPEN,steel,"43.100","1991"
Junction-46112,"0.790000000000000","0.000000000000000",Pipe-17578,"1.000000000000000",Junction-29114,OPEN,steel,"54.500","2005"
Junction-14345,"11.180000000000000","0.000000000000000",Pipe-38383,"1.000000000000000",Junction-50712,OPEN,steel,"37.200","1990"
Junction-55930,"29.899999999999999","0.000000000000000",Pipe-46772,"1.000000000000000",Junction-44942,OPEN,steel,"54.500","2000"
Junction-51463,"14.320000000000000","0.000000000000000",Pipe-653702,"1.000000000000000",Junction-591544,OPEN,steel,"82.500","1999"
Junction-1345,"9.359999999999999","0.000000000000000",Pipe-15900,"1.000000000000000",Junction-26923,OPEN,steel,"28.500","1999"
Junction-44152,"62.259999999999998","0.000000000000000",Pipe-30545,"1.000000000000000",Junction-44151,OPEN,steel,"82.500","2001"
Junction-470714,"0.500000000000000","0.000000000000000",Pipe-542199,"1.000000000000000",Junction-471574,OPEN,steel,"28.500","2019"
Junction-44697,"25.000000000000000","0.000000000000000",Pipe-46530,"1.000000000000000",Junction-51080,OPEN,steel,"70.300","1999"
Junction-2121,"6.840000000000000","0.000000000000000",Pipe-23932,"1.000000000000000",Junction-37120,OPEN,steel,"28.500","2002"
Junction-15020,"16.899999999999999","0.000000000000000",Pipe-8207,"1.000000000000000",Junction-1153,OPEN,steel,"37.200","1999"
Junction-1333,"27.210000000000001","0.000000000000000",Pipe-718,"1.000000000000000",Junction-15231,OPEN,steel,"37.200","1999"
Junction-50938,"8.240000000000000","0.000000000000000",Pipe-38732,"1.000000000000000",Junction-14810,OPEN,steel,"28.500","2014"
Junction-1004,"21.350000000000001","0.000000000000000",Pipe-542,"1.000000000000000",Junction-1003,OPEN,steel,"37.200","1980"
Junction-26441,"21.469999999999999","0.000000000000000",Pipe-38563,"1.000000000000000",Junction-50827,OPEN,steel,"28.500","2005"
Junction-44330,"15.080000000000000","0.000000000000000",Pipe-30754,"1.000000000000000",Junction-36219,OPEN,steel,"43.100","2006"
Junction-59303,"9.600000000000000","0.000000000000000",Pipe-54784,"1.000000000000000",Junction-51462,OPEN,steel,"43.100","1999"
Junction-474275,"2.590000000000000","0.000000000000000",Pipe-546223,"1.000000000000000",Junction-474274,OPEN,steel,"82.500","2008"
Junction-855,"13.869999999999999","0.000000000000000",Pipe-53844,"1.000000000000000",Junction-59066,OPEN,steel,"43.100","2006"
Junction-26358,"17.510000000000002","0.000000000000000",Pipe-38500,"1.000000000000000",Junction-50783,OPEN,steel,"28.500","1979"
Junction-15882,"0.940000000000000","0.000000000000000",Pipe-54617,"1.000000000000000",Junction-15884,OPEN,steel,"43.100","1975"
Junction-369,"7.000000000000000","0.000000000000000",Pipe-201,"1.000000000000000",Junction-368,OPEN,steel,"28.500","1998"
Junction-51001,"240.069999999999993","0.000000000000000",Pipe-38848,"1.000000000000000",Junction-51000,OPEN,steel,"393.900","2003"
Junction-456269,"18.520000000000000","0.000000000000000",Pipe-535537,"1.000000000000000",Junction-55698,OPEN,steel,"70.300","2008"
Junction-14611,"18.460000000000001","0.000000000000000",Pipe-7955,"1.000000000000000",Junction-14548,OPEN,steel,"82.500","1982"
Junction-59012,"22.329999999999998","0.000000000000000",Pipe-53658,"1.000000000000000",Junction-50750,OPEN,steel,"37.200","1990"
Junction-26083,"16.530000000000001","0.000000000000000",Pipe-15266,"1.000000000000000",Junction-26084,OPEN,steel,"28.500","2008"
Junction-87,"1.910000000000000","0.000000000000000",Pipe-541144,"1.000000000000000",Junction-470561,OPEN,steel,"54.500","2018"
Junction-26229,"0.910000000000000","0.000000000000000",Pipe-15378,"1.000000000000000",Junction-14372,OPEN,steel,"70.300","1990"
Junction-335,"56.909999999999997","0.000000000000000",Pipe-181,"1.000000000000000",Junction-334,OPEN,steel,"54.500","2001"
Junction-26145,"1.600000000000000","0.000000000000000",Pipe-38325,"1.000000000000000",Junction-360,OPEN,steel,"28.500","1998"
Junction-51075,"67.329999999999998","0.000000000000000",Pipe-46527,"1.000000000000000",Junction-15237,OPEN,steel,"82.500","1999"
Junction-36221,"53.600000000000001","0.000000000000000",Pipe-30757,"1.000000000000000",Junction-44333,OPEN,steel,"160.300","2003"
Junction-494,"6.140000000000000","0.000000000000000",Pipe-522484,"1.000000000000000",Junction-457335,OPEN,steel,"43.100","2006"
Junction-14477,"78.959999999999994","0.000000000000000",Pipe-7870,"1.000000000000000",Junction-647,OPEN,steel,"312.700","2004"
Junction-472565,"1.510000000000000","0.000000000000000",Pipe-543678,"1.000000000000000",Junction-457164,OPEN,steel,"54.500","2019"
Junction-651,"18.690000000000001","0.000000000000000",Pipe-356,"1.000000000000000",Junction-655,OPEN,steel,"43.100","1975"
Junction-470833,"29.590000000000000","0.000000000000000",Pipe-535170,"1.000000000000000",Junction-25862,OPEN,steel,"107.100","2018"
Junction-455263,"19.149999999999999","0.000000000000000",Pipe-520633,"1.000000000000000",Junction-455855,OPEN,steel,"43.100","2008"
Junction-15859,"8.990000000000000","0.000000000000000",Pipe-54600,"1.000000000000000",Junction-51339,OPEN,steel,"70.300","1999"
Junction-25858,"0.690000000000000","0.000000000000000",Pipe-540742,"1.000000000000000",Junction-25857,OPEN,steel,"107.100","2020"
Junction-26436,"57.700000000000003","0.000000000000000",Pipe-30792,"1.000000000000000",Junction-26433,OPEN,steel,"54.500","2006"
Junction-51462,"14.359999999999999","0.000000000000000",Pipe-39588,"1.000000000000000",Junction-16178,OPEN,steel,"43.100","1999"
Junction-26394,"92.950000000000003","0.000000000000000",Pipe-15498,"1.000000000000000",Junction-650,OPEN,steel,"82.500","2007"
Junction-577,"12.470000000000001","0.000000000000000",Pipe-46089,"1.000000000000000",Junction-55599,OPEN,steel,"37.200","2003"
Junction-44308,"14.619999999999999","0.000000000000000",Pipe-520252,"1.000000000000000",Junction-455531,OPEN,steel,"107.100","2023"
Junction-474675,"24.489999999999998","0.000000000000000",Pipe-550375,"1.000000000000000",Junction-1329,OPEN,steel,"54.500","2008"
Junction-36042,"50.549999999999997","0.000000000000000",Pipe-22912,"1.000000000000000",Junction-329,OPEN,steel,"107.100","2006"
Junction-14245,"101.980000000000004","0.000000000000000",Pipe-7722,"1.000000000000000",Junction-14244,OPEN,steel,"54.500","2006"
Sensor-2,"9.869999999999999","0.000000000000000",Pipe-22966,"1.000000000000000",Junction-14337,OPEN,steel,"54.500","2007"
Junction-474,"0.300000000000000","0.000000000000000",Pipe-259,"1.000000000000000",Junction-473,OPEN,steel,"21.700","1990"
Junction-778,"0.360000000000000","0.000000000000000",Pipe-46199,"1.000000000000000",Junction-44384,OPEN,steel,"70.300","1975"
Junction-36221,"43.149999999999999","0.000000000000000",Pipe-15485,"1.000000000000000",Junction-36220,OPEN,steel,"54.500","2003"
Junction-2091,"28.559999999999999","0.000000000000000",Pipe-54602,"1.000000000000000",Junction-2090,OPEN,steel,"43.100","1999"
Junction-51461,"3.300000000000000","0.000000000000000",Pipe-47124,"1.000000000000000",Junction-27701,OPEN,steel,"43.100","2003"
Junction-26275,"0.500000000000000","0.000000000000000",Pipe-46049,"1.000000000000000",Junction-26274,OPEN,steel,"160.300","1990"
Junction-14301,"85.260000000000005","0.000000000000000",Pipe-547259,"1.000000000000000",Junction-44250,OPEN,steel,"107.100","2008"
Junction-456267,"42.119999999999997","0.000000000000000",Pipe-520805,"1.000000000000000",Junction-455815,OPEN,steel,"43.100","2008"
Junction-50720,"0.300000000000000","0.000000000000000",Pipe-38396,"1.000000000000000",Junction-36111,OPEN,steel,"21.700","1991"
Junction-519680,"0.680000000000000","0.000000000000000",Pipe-583512,"1.000000000000000",Junction-519681,OPEN,steel,"28.500","2025"
Junction-44361,"24.780000000000001","0.000000000000000",Pipe-38559,"1.000000000000000",Junction-26431,OPEN,steel,"54.500","2006"
Junction-61176,"53.630000000000003","0.000000000000000",Pipe-46228,"1.000000000000000",Junction-854,OPEN,steel,"160.300","2008"
Junction-50665,"66.280000000000001","0.000000000000000",Pipe-38285,"1.000000000000000",Junction-26079,OPEN,steel,"107.100","2007"
Junction-26129,"64.819999999999993","0.000000000000000",Pipe-15299,"1.000000000000000",Junction-26128,OPEN,steel,"82.500","1995"
Junction-15352,"64.450000000000003","0.000000000000000",Pipe-38962,"1.000000000000000",Junction-36668,OPEN,steel,"132.500","2020"
Junction-51694,"44.460000000000001","0.000000000000000",Pipe-39949,"1.000000000000000",Junction-37637,OPEN,steel,"37.200","2006"
Junction-37114,"12.330000000000000","0.000000000000000",Pipe-23924,"1.000000000000000",Junction-2105,OPEN,steel,"28.500","1980"
Junction-26102,"60.340000000000003","0.000000000000000",Pipe-22902,"1.000000000000000",Junction-36032,OPEN,steel,"70.300","2001"
Junction-55594,"25.489999999999998","0.000000000000000",Pipe-15435,"1.000000000000000",Junction-36159,OPEN,steel,"107.100","2006"
Junction-50729,"50.030000000000001","0.000000000000000",Pipe-53639,"1.000000000000000",Junction-59007,OPEN,steel,"160.300","2006"
Junction-15399,"0.950000000000000","0.000000000000000",Pipe-8438,"1.000000000000000",Junction-15398,OPEN,steel,"28.500","1982"
Junction-45258,"1.980000000000000","0.000000000000000",Pipe-31823,"1.000000000000000",Junction-45257,OPEN,steel,"21.700","1999"
Junction-26251,"73.010000000000005","0.000000000000000",Pipe-38416,"1.000000000000000",Junction-26249,OPEN,steel,"107.100","2003"
Junction-495,"17.920000000000002","0.000000000000000",Pipe-270,"1.000000000000000",Junction-494,OPEN,steel,"37.200","2006"
Junction-15393,"1.040000000000000","0.000000000000000",Pipe-39094,"1.000000000000000",Junction-51150,OPEN,steel,"37.200","1982"
Junction-14479,"15.500000000000000","0.000000000000000",Pipe-30731,"1.000000000000000",Junction-589,OPEN,steel,"43.100","1990"
Junction-61159,"28.469999999999999","0.000000000000000",Pipe-32144,"1.000000000000000",Junction-28122,OPEN,steel,"132.500","2016"
Junction-586,"28.800000000000001","0.000000000000000",Pipe-23056,"1.000000000000000",Junction-14475,OPEN,steel,"54.500","2002"
Junction-567,"39.450000000000003","0.000000000000000",Pipe-30716,"1.000000000000000",Junction-568,OPEN,steel,"132.500","2006"
Junction-14290,"16.109999999999999","0.000000000000000",Pipe-22944,"1.000000000000000",Junction-36074,OPEN,steel,"28.500","1991"
Junction-14558,"20.980000000000000","0.000000000000000",Pipe-53741,"1.000000000000000",Junction-36236,OPEN,steel,"54.500","1975"
Junction-26252,"43.340000000000003","0.000000000000000",Pipe-46037,"1.000000000000000",Junction-14389,OPEN,steel,"82.500","2004"
Junction-1819,"0.460000000000000","0.000000000000000",Pipe-979,"1.000000000000000",Junction-1820,OPEN,steel,"70.300","1995"
Junction-14536,"22.160000000000000","0.000000000000000",Pipe-30762,"1.000000000000000",Junction-44337,OPEN,steel,"70.300","2003"
Junction-50947,"28.320000000000000","0.000000000000000",Pipe-38745,"1.000000000000000",Junction-1004,OPEN,steel,"28.500","1980"
Junction-1815,"54.149999999999999","0.000000000000000",Pipe-976,"1.000000000000000",Junction-55940,OPEN,steel,"37.200","1995"
Junction-454045,"1.140000000000000","0.000000000000000",Pipe-544646,"1.000000000000000",Junction-473092,OPEN,steel,"37.200","2022"
Junction-455592,"19.120000000000001","0.000000000000000",Pipe-538132,"1.000000000000000",Junction-468775,OPEN,steel,"43.100","2008"
Junction-455795,"1.600000000000000","0.000000000000000",Pipe-551099,"1.000000000000000",Junction-63364,OPEN,steel,"160.300","2008"
Junction-44217,"0.300000000000000","0.000000000000000",Pipe-30623,"1.000000000000000",Junction-14293,OPEN,steel,"21.700","1991"
Junction-342,"36.840000000000003","0.000000000000000",Pipe-185,"1.000000000000000",Junction-340,OPEN,steel,"43.100","2007"
Junction-1343,"4.750000000000000","0.000000000000000",Pipe-38986,"1.000000000000000",Junction-51082,OPEN,steel,"28.500","2001"
Junction-473,"0.640000000000000","0.000000000000000",Pipe-22977,"1.000000000000000",Junction-14350,OPEN,steel,"54.500","1990"
Junction-26097,"11.810000000000000","0.000000000000000",Pipe-38295,"1.000000000000000",Junction-50670,OPEN,steel,"37.200","2007"
Junction-455586,"0.300000000000000","0.000000000000000",Pipe-520314,"1.000000000000000",Junction-455585,OPEN,steel,"82.500","2008"
Junction-477344,"20.620000000000001","0.000000000000000",Pipe-549299,"1.000000000000000",Junction-455953,OPEN,steel,"160.300","2024"
Junction-50770,"26.850000000000001","0.000000000000000",Pipe-53731,"1.000000000000000",Junction-59038,OPEN,steel,"28.500","2003"
Junction-45421,"5.500000000000000","0.000000000000000",Pipe-54967,"1.000000000000000",Junction-460184,OPEN,steel,"28.500","2001"
Junction-455418,"61.189999999999998","0.000000000000000",Pipe-520118,"1.000000000000000",Junction-472575,OPEN,steel,"70.300","1980"
Junction-14812,"54.570000000000000","0.000000000000000",Pipe-525,"1.000000000000000",Junction-50936,OPEN,steel,"70.300","2006"
Junction-468801,"51.700000000000003","0.000000000000000",Pipe-538169,"1.000000000000000",Junction-477344,OPEN,steel,"160.300","2006"
Junction-576520,"96.640000000000001","0.000000000000000",Pipe-31828,"1.000000000000000",Junction-37296,OPEN,steel,"393.900","2003"
Junction-472323,"37.909999999999997","0.000000000000000",Pipe-540073,"1.000000000000000",Junction-15352,OPEN,steel,"132.500","2020"
Junction-14223,"42.880000000000003","0.000000000000000",Pipe-45959,"1.000000000000000",Junction-55551,OPEN,steel,"54.500","1999"
Junction-455968,"18.280000000000001","0.000000000000000",Pipe-520757,"1.000000000000000",Junction-455967,OPEN,steel,"263.000","2008"
Junction-455360,"76.959999999999994","0.000000000000000",Pipe-520049,"1.000000000000000",Junction-36773,OPEN,steel,"107.100","2008"
Junction-14233,"11.430000000000000","0.000000000000000",Pipe-7716,"1.000000000000000",Junction-355,OPEN,steel,"37.200","2018"
Junction-16444,"25.890000000000001","0.000000000000000",Pipe-9098,"1.000000000000000",Junction-16443,OPEN,steel,"54.500","1999"
Junction-14236,"120.640000000000001","0.000000000000000",Pipe-53587,"1.000000000000000",Junction-36086,OPEN,steel,"263.000","2006"
Junction-519268,"0.210000000000000","0.000000000000000",Pipe-583511,"1.000000000000000",Junction-519680,OPEN,steel,"28.500","2025"
Junction-479,"0.840000000000000","0.000000000000000",Pipe-46024,"1.000000000000000",Junction-26224,OPEN,steel,"43.100","1990"
Junction-579,"7.510000000000000","0.000000000000000",Pipe-317,"1.000000000000000",Junction-578,OPEN,steel,"28.500","2005"
Junction-26451,"23.609999999999999","0.000000000000000",Pipe-23152,"1.000000000000000",Junction-731,OPEN,steel,"37.200","2003"
Junction-644,"23.469999999999999","0.000000000000000",Pipe-351,"1.000000000000000",Junction-641,OPEN,steel,"37.200","2003"
Junction-1170,"0.230000000000000","0.000000000000000",Pipe-631,"1.000000000000000",Junction-1169,OPEN,steel,"54.500","1980"
Junction-474819,"42.710000000000001","0.000000000000000",Pipe-38525,"1.000000000000000",Junction-586,OPEN,steel,"70.300","2002"
Junction-2765,"8.300000000000002","0.000000000000000",Pipe-1487,"1.000000000000000",Junction-2764,OPEN,steel,"28.500","2002"
Junction-45422,"14.150000000000000","0.000000000000000",Pipe-32015,"1.000000000000000",Junction-45421,OPEN,steel,"43.100","1999"
Junction-476794,"23.930000000000000","0.000000000000000",Pipe-38650,"1.000000000000000",Junction-50884,OPEN,steel,"42.000","1993"
Junction-61168,"0.870000000000000","0.000000000000000",Pipe-30734,"1.000000000000000",Junction-44312,OPEN,steel,"107.100","1995"
Junction-455321,"1.810000000000000","0.000000000000000",Pipe-522251,"1.000000000000000",Junction-457166,OPEN,steel,"54.500","2019"
Junction-475947,"13.070000000000000","0.000000000000000",Pipe-548609,"1.000000000000000",Junction-475946,OPEN,steel,"28.500","2023"
Junction-466742,"83.120000000000005","0.000000000000000",Pipe-535160,"1.000000000000000",Junction-466741,OPEN,steel,"107.100","2018"
Junction-543,"28.399999999999999","0.000000000000000",Pipe-38451,"1.000000000000000",Junction-14430,OPEN,steel,"54.500","2006"
Junction-15026,"10.199999999999999","0.000000000000000",Pipe-8210,"1.000000000000000",Junction-15025,OPEN,steel,"70.300","1999"
Junction-299,"47.960000000000001","0.000000000000000",Pipe-536643,"1.000000000000000",Junction-298,OPEN,steel,"82.500","2023"
Junction-59015,"35.899999999999999","0.000000000000000",Pipe-53667,"1.000000000000000",Junction-36149,OPEN,steel,"43.100","1998"
Junction-535,"0.280000000000000","0.000000000000000",Pipe-38442,"1.000000000000000",Junction-50752,OPEN,steel,"82.500","1984"
Junction-28116,"3.300000000000000","0.000000000000000",Pipe-1633,"1.000000000000000",Junction-3031,OPEN,steel,"107.100","2006"
Junction-474906,"74.540000000000006","0.000000000000000",Pipe-547230,"1.000000000000000",Junction-474898,OPEN,steel,"70.300","2023"
Junction-44326,"0.300000000000000","0.000000000000000",Pipe-30751,"1.000000000000000",Junction-36210,OPEN,steel,"21.700","1984"
Junction-289,"67.530000000000001","0.000000000000000",Pipe-30551,"1.000000000000000",Junction-26088,OPEN,steel,"107.100","1994"
Junction-26929,"2.600000000000000","0.000000000000000",Pipe-15905,"1.000000000000000",Junction-26928,OPEN,steel,"37.200","1980"
Junction-58981,"1.660000000000000","0.000000000000000",Pipe-53583,"1.000000000000000",Junction-387,OPEN,steel,"21.700","2008"
Junction-467477,"8.270000000000000","0.000000000000000",Pipe-580659,"1.000000000000000",Junction-516106,OPEN,steel,"28.500","2008"
Junction-50749,"0.300000000000000","0.000000000000000",Pipe-38437,"1.000000000000000",Junction-50748,OPEN,steel,"21.700","1990"
Junction-471821,"3.550000000000000","0.000000000000000",Pipe-543688,"1.000000000000000",Junction-472572,OPEN,steel,"54.500","2008"
